pop,Source,1,2,3,4,5,6,7,8,9,10,11,12,LP_1,LP_2,LP_3
GH,-0.040218002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.032399128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.019081406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.022220005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.028129277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.034472224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.042823291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.04251299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.027598288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,-0.041994814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.004504249,0.004504249,0.004504249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.005990753,0.005990753,0.005990753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,0.014138115,0.014138115,0.014138115,0.014138115,0.014138115,NA,NA,NA
LL,NA,NA,NA,0.007157154,0.007157154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.016495043,0.016495043,0.016495043,0.016495043,0.016495043,0.016495043,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.009591101,0.009591101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.011943166,0.011943166,0.011943166,0.011943166,0.011943166,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,-0.011557705,-0.011557705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.004168274,0.004168274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.0007852,0.0007852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.023868109,0.023868109,0.023868109,0.023868109,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.001280564,0.001280564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.01963431,0.01963431,0.01963431,0.01963431,0.01963431,0.01963431,0.01963431,0.01963431,NA,NA,NA,NA,NA
