pop,Source,1,2,3,4,5,6,7,8,9,10,11,12,LP_1,LP_2,LP_3
GH,16.03940039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,17.29922364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,16.69645756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,16.8560238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,18.66882686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,17.3683431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,17.46232281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,16.65157733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GH,16.6532515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,22.58881602,22.58881602,22.58881602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,21.64404882,21.64404882,21.64404882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,20.41962296,20.41962296,20.41962296,20.41962296,20.41962296,NA,NA,NA
LL,NA,NA,NA,20.45683949,20.45683949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,20.37780912,20.37780912,20.37780912,20.37780912,20.37780912,20.37780912,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,19.34158876,19.34158876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,19.83861466,19.83861466,19.83861466,19.83861466,19.83861466,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,19.20582914,19.20582914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,19.82987856,19.82987856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,19.09675381,19.09675381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
