267	133
263	133
263	134
259	134
259	135
255	135
255	136
251	136
251	137
247	137
247	138
243	138
243	139
239	139
239	140
235	140
235	141
232	141
232	142
228	142
228	143
224	143
224	144
221	144
221	145
218	145
218	146
214	146
214	147
211	147
211	148
208	148
208	149
204	149
204	150
201	150
201	151
198	151
198	152
195	152
195	153
192	153
192	154
189	154
189	155
186	155
186	156
183	156
183	157
180	157
180	158
177	158
177	159
174	159
174	160
171	160
171	161
168	161
168	162
165	162
165	163
162	163
162	164
159	164
159	165
156	165
156	166
153	166
153	167
150	167
150	168
147	168
147	169
144	169
144	170
141	170
141	171
138	171
138	172
135	172
135	173
132	173
132	174
129	174
129	175
126	175
126	176
123	176
123	177
120	177
120	178
116	178
116	179
113	179
113	180
109	180
109	181
106	181
106	182
102	182
102	183
99	183
99	184
96	184
96	185
93	185
93	186
89	186
89	187
86	187
86	188
83	188
83	189
81	189
81	190
78	190
78	191
75	191
75	192
73	192
73	193
70	193
70	194
68	194
68	195
66	195
66	196
63	196
63	197
61	197
61	198
59	198
59	199
57	199
57	200
55	200
55	201
53	201
53	202
51	202
51	203
49	203
49	204
47	204
47	205
46	205
46	206
44	206
44	207
42	207
42	208
40	208
40	209
39	209
39	210
37	210
37	211
35	211
35	212
34	212
34	213
32	213
32	214
31	214
31	215
29	215
29	216
28	216
28	217
26	217
26	218
25	218
25	219
24	219
24	220
23	220
23	221
22	221
22	222
21	222
21	223
20	223
20	224
19	224
19	225
18	225
18	226
17	226
17	228
16	228
16	229
15	229
15	231
14	231
14	232
13	232
13	234
12	234
12	237
11	237
11	241
12	241
12	245
13	245
13	247
14	247
14	249
15	249
15	251
16	251
16	252
17	252
17	254
18	254
18	256
19	256
19	258
20	258
20	259
21	259
21	261
22	261
22	263
23	263
23	264
24	264
24	266
25	266
25	267
26	267
26	269
27	269
27	271
28	271
28	273
27	273
27	274
24	274
24	273
23	273
23	271
22	271
22	269
21	269
21	268
20	268
20	266
19	266
19	265
18	265
18	263
17	263
17	261
16	261
16	260
15	260
15	258
14	258
14	256
13	256
13	254
12	254
12	252
11	252
